FID,X,Y,Aspect,DEM,DisToLinea,LineaDen,NDVI,Plan_Curva,Profile_Cu,Slope,Slope_Leng,STI,SPI,TPI,TWI,VRM,LULC_2015,habitat,GDP,DisFromRiv,DisFromRoa,target
411,109.81 ,32.40 ,180,564,798.8120117,0.395154,0.334211,0,0.0021643,7.5946398,30,0.357681,226.147995,2.7837801,2.7674999,0.00115,1,1400,212,740.9450073,2853.939941,1
412,109.81 ,32.40 ,162.8970032,538,1068.27002,0.386653,0.301903,-0.0011657,0.0007605,12.7726002,120,0.342734,43.9280014,1.32432,6.9116602,0.0001533,1,1400,212,1050,3099.73999,1
413,109.82 ,32.40 ,169.3800049,550,424.2640076,0.2839,0.248152,0.0017463,0.0010723,15.1796999,102.4260025,0.119839,-70.0295029,2.43243,11.6952,0.0005212,1,1400,294,284.605011,2507.110107,1
414,109.82 ,32.40 ,195.9450073,503,335.4100037,0.244323,0.278983,0.0027645,0.0002154,6.91817,144.8529968,0,110.5179977,-0.486486,5.3160901,0.000195,1,1400,294,450,2914.330078,1
415,109.82 ,32.40 ,255.9640045,520,123.6930008,0.239942,0.289411,0.007609,0.0000324,3.9310999,0,0.359117,30.2472992,2.43243,3.3929901,0.0007515,1,1400,294,241.8679962,2741.679932,1
416,109.83 ,32.39 ,263.6600037,474,271.6619873,0.204888,0.136361,-0.0048931,-0.0003603,8.5824804,247.279007,0.694441,-268.9909973,-2.97297,12.3884001,0.0008068,1,1400,294,381.8380127,2994.75,1
417,109.84 ,32.40 ,174.2890015,555,228.4730072,0.190403,0.32178,-0.0036123,0.0000475,9.5086603,234.8529968,1.10136,20.1781998,-0.945946,7.9566798,0.000107,1,1400,203,954.8300171,2590.439941,1
418,109.81 ,32.38 ,163.3009949,599,150,0.392486,0.175917,0.0011717,0.0003363,9.8709297,90,0.332717,57.3977013,2.10811,5.5249801,0.0002973,1,1400,294,1272.790039,4100.790039,1
419,109.81 ,32.38 ,128.6600037,605,468.6149902,0.348884,0.314018,0.0011004,0.0011354,17.7528,42.4263992,0.534508,-116.947998,0.918919,11.0021,0.0004178,1,1400,203,2047.48999,3722.540039,1
420,109.82 ,32.38 ,241.9279938,557,720,0.281583,0.33364,0.0013434,-0.002813,15.8191996,187.279007,0.449982,30.1567001,-2.6216199,7.7904401,0.0015375,1,1400,203,997.2459717,3609.98999,1
421,109.82 ,32.38 ,51.3401985,532,1317.949951,0.270799,0.273441,0.030219,-0.0004396,6.0914798,0,0.324084,-5.8227301,5.1891899,10.309,0.0029329,1,1400,294,366.196991,3550.280029,1
422,109.83 ,32.38 ,32.0054016,489,1084.160034,0.217909,0.19107,0.0038112,-0.0011133,8.9356298,411.8380127,0.723212,-367.2810059,0,13.4443998,0.0006305,2,1400,294,240,2955.27002,1
423,109.83 ,32.38 ,96.3402023,521,1288.25,0.210722,0.311841,0.0029179,0.0021519,16.7961998,60,0.347313,171.8150024,5.3783798,3.8532,0.0027301,1,1400,211,240,3059.409912,1
424,109.82 ,32.38 ,208.6100006,523,632.8510132,0.263009,0.286532,0.003965,-0.0002556,11.7957001,381.8380127,0.518875,-291.2850037,0.378378,12.6114998,0.0006746,1,1400,211,1006.229981,2818.879883,1
425,109.83 ,32.37 ,194.0359955,564,630.7139893,0.20062,0.284652,0.0152179,-0.0004867,3.9310999,0,0.169452,30.2472992,4.05405,3.3929901,0.0016542,1,1400,211,1063.199951,2013.579956,1
426,109.83 ,32.37 ,102.9950027,590,792.0230103,0.190424,0.235181,0.0016984,-0.0003513,12.5363998,120,0.265973,-4.4986801,1,11.9183998,0.0006463,1,1400,211,924.1749878,1594.52002,1
427,109.83 ,32.37 ,335.5559998,567,720,0.153961,0.163213,0.0012471,0.0004859,21.9379997,0,0.0458689,-1.59574,1.91892,10.309,0.000733,2,1400,211,517.8800049,1261.430054,1
428,109.83 ,32.37 ,165.9640045,684,674.1660156,0.191426,0.279143,0.0038045,0.0018728,11.6485996,0,0.495878,-39.2134018,3.3243201,10.309,0.0021511,1,1400,211,1295.569946,1453.98999,1
429,109.83 ,32.36 ,225,556,450,0.184332,0.269037,-0.0108786,0.0019423,17.0356998,127.2789993,0.844785,484.0320129,-3.2702701,3.3928299,0.0036556,1,1400,293,1053.420044,894.9860229,1
430,109.84 ,32.38 ,120.9639969,460,1557.689941,0.183092,0.286154,0.0015132,0.0007728,10.9991999,42.4263992,0.4243,-16742.80078,2.6486499,11.0021,0.0004202,1,1400,293,391.1520081,1994.040039,1
431,109.84 ,32.39 ,223.2640076,478,551.5430298,0.171786,0.308967,-0.0036941,0.0007137,21.2604008,84.8527985,0.322112,-80.6676025,-1.32432,11.4076004,0.0009613,1,1400,211,308.868988,2460.179932,1
432,109.84 ,32.41 ,294.4440002,511,371.07901,0.237309,0.217294,0.0049316,-0.0009357,11.3862,0,0.728791,-72.8606033,1.3513499,10.309,0.0004022,1,1400,294,1056.829956,1771.02002,1
433,109.84 ,32.41 ,150.9450073,500,635.6890259,0.247044,0.191469,-0.0004887,-0.0009835,9.7367802,399.4110107,0.770618,309.6319885,-1.81081,7.9984798,0.0003159,1,1400,294,902.4970093,1532.640015,1
434,109.83 ,32.41 ,287.3540039,548,234.3070068,0.2848,0.243987,-0.0021654,-0.0009485,15.6094999,60,0.448284,-8.8881102,-1.6216201,11.4076004,0.0002428,1,1400,294,742.7650146,1328.160034,1
435,109.83 ,32.41 ,300.9639893,523,416.7730103,0.320418,0.339717,0.0069776,0.0008192,10.9991999,0,0.408468,-8371.389648,2.7567599,10.309,0.0005905,1,1400,294,509.1170044,845.3400269,1
436,109.83 ,32.42 ,308.6600037,551,600,0.31577,0.16038,0.0005079,-0.0005995,6.0914798,42.4263992,0.394947,-11.6455002,1.6486501,11.0021,0.0002194,2,1400,294,685.4199829,729.9320068,1
437,109.84 ,32.42 ,293.6289978,524,152.970993,0.318396,0.242889,-0.0002003,-0.0004402,16.2287006,84.8527985,0.619446,86.0383987,2.1351399,5.5664802,0.0002723,2,1400,204,730.5479736,228.4730072,1
438,109.84 ,32.42 ,199.9830017,520,189.7369995,0.357752,0.268795,0.0090217,-0.0000882,11.0384998,0,0.323359,-697.927002,1.4054101,10.309,0.0006741,1,1400,204,750,60,1
439,109.95 ,32.42 ,107.7450027,801,684.1049805,0.476301,0.352947,0.0012238,0.0000155,23.6284008,157.279007,0.508583,-2253.030029,1.81081,11.9183998,0.0007071,2,1400,203,7913.919922,5716.790039,0
440,110.10 ,32.22 ,169.9920044,440,764.8530273,0.133548,0.291372,-0.0011663,-0.0026607,16.0510998,144.8529968,2.1271,75.0325012,-6.7027001,6.3762898,0.0080188,2,1400,192,763.6749878,4626.040039,0
441,109.96 ,32.34 ,270,523,902.4970093,0.354501,0.202797,0,0.0011093,1.90915,0,0.388085,-85.254303,2.2432401,10.309,0.0005654,1,1400,202,4514.379883,445.9819946,0
442,110.08 ,32.22 ,204.4440002,444,1615.550049,0.0988604,0.267326,-0.0004535,0.0021796,11.3862,42.4263992,0.227247,-145.720993,8.3783798,11.0021,0.0040362,1,1400,208,787.4639893,5077.450195,0
443,110.09 ,32.29 ,198.4349976,498,782.3040161,0.298114,0.344113,0.0010541,-0.0012491,11.9047003,30,0,-46.7282982,-0.648649,11.0021,0.0005806,1,1400,292,630.7139893,2216.350098,0
444,110.03 ,32.25 ,125.538002,567,547.4489746,0.360192,0.38709,-0.0002967,-0.0007624,23.2733002,169.7059937,0.99363,505.2059937,-2.89189,3.7962999,0.0016516,2,100,208,1909.660034,2737.23999,0
445,110.10 ,32.43 ,23.1986008,938,636.3959961,0.359034,0.272146,-0.0004528,0.0009507,26.9176998,127.2789993,0.445955,-551.6389771,2.6756799,11.6952,0.0004657,2,100,205,5131.75,5923.009766,0
446,109.93 ,32.33 ,71.5650024,494,161.5549927,0.448248,0.331055,0.0065354,0.0004521,14.7630997,0,0.597379,-41.4963989,2.02703,10.309,0.0004246,2,300,293,3006.73999,182.4830017,0
447,109.92 ,32.41 ,243.4349976,606,94.8683014,0.252957,0.237558,-0.0477028,-0.0009979,2.1343,0,0.190335,-522.28302,-6.89189,12.7068005,0.0079978,2,1400,204,7422.620117,3411.570068,0
448,110.02 ,32.42 ,180,875,1584.050049,0.231473,0.366369,0.0083333,0.0010821,7.5946398,0,0.140417,113.0739975,8.3783798,2.0743501,0.0043696,2,100,204,2010,10109.5,0
449,110.07 ,32.40 ,251.5650024,925,1331.540039,0.266267,0.255468,0.0006023,-0.0001835,20.2507,102.4260025,0.411771,875.4119873,1.51351,3.2465799,0.0005804,2,1400,204,2460.179932,9231.669922,0
450,110.10 ,32.25 ,344.7449951,674,1084.160034,0.244341,0.217226,-0.0004048,-0.0016894,20.8097,120,0.882835,-365.572998,-3.05405,11.9183998,0.0033758,2,100,291,2142.639893,1623.880005,0
451,110.06 ,32.37 ,267.3970032,707,582.4949951,0.424758,0.297875,0.0042006,0.0019417,20.1553993,60,0.210894,331.7269897,8.5405397,3.1953101,0.0039937,2,100,211,1292.439941,7626.910156,0
452,109.93 ,32.39 ,315,613,551.5430298,0.322704,0.281829,-0.0176777,-0.0005482,5.3859801,741.8380127,0.755824,-4811.359863,-3.51351,15.1610003,0.0010235,2,1400,203,7106.450195,2592.01001,0
453,110.04 ,32.39 ,70.346199,578,853.2880249,0.34553,0.25543,-0.0034293,-0.0027794,13.9158001,596.9849854,0.522074,11997.5,-7.8648601,6.4095602,0.0042633,2,100,211,954.8300171,9715.650391,0
454,110.03 ,32.24 ,23.9624996,579,858.0209961,0.287762,0.283928,-0.0132588,0.0004898,9.3218403,349.7059937,7.0332499,-96.0761032,-5.10811,13.7428999,0.0051003,2,100,208,3324.050049,4200.109863,0
455,110.02 ,32.33 ,309.8059998,509,751.7979736,0.224485,0.212653,-0.0004198,-0.0004884,7.4165401,127.2789993,0.602452,256.5950012,-0.918919,4.0274801,0.0002823,1,1400,202,842.1400146,3194.120117,0
456,109.94 ,32.35 ,276.3399963,549,189.7369995,0.55912,0.226883,0.0006734,-0.0011725,8.5824804,30,0.430109,-67.2478027,1.54054,11.0021,0.0019651,2,1400,210,4566.799805,655.210022,0
457,110.05 ,32.33 ,64.5366974,506,782.3040161,0.247238,0.366614,0.0042702,0.0000092,21.1891994,0,0.392439,-31.0123997,1.83784,10.309,0.0004806,2,1400,210,1410,3850.530029,0
458,109.90 ,32.40 ,330.2550049,547,523.927002,0.368186,0.166026,0.0068696,-0.0036643,15.0424004,0,1.8872401,-23.5531998,-4.97297,10.309,0.0046445,2,1400,211,5300.839844,1850.540039,0
459,109.92 ,32.44 ,2.72631,630,60,0.427821,0.308739,0.001729,-0.0005092,19.3103008,120,0.338132,74.4540024,-1.18919,5.7110901,0.0007403,2,1400,204,5450.600098,4674.709961,0
460,110.11 ,32.33 ,69.2276993,535,1209.339966,0.31007,0.304642,0.0023382,0.0014894,27.3360004,0,0.207904,-40.9299011,5.5945902,10.309,0.0046797,2,1400,211,966.0750122,6758.060059,0
461,110.00 ,32.25 ,41.9872017,748,228.4730072,0.373678,0.264086,0.0060504,0.000288,12.6381998,127.2789993,0.518992,8.6373501,4.3513498,7.41889,0.0013024,2,1400,200,4464.660156,5575.560059,0
462,109.94 ,32.26 ,90,562,685.4199829,0.254421,0.330193,0.0083333,0.0020046,14.9314003,30,0.330479,-58.9469986,6.94595,11.0021,0.0032277,1,300,187,2495.600098,5903.220215,0
