FID,X,Y,Aspect,DEM,DisToLinea,LineaDen,NDVI,Plan_Curva,Profile_Cu,Slope,Slope_Leng,STI,SPI,TPI,TWI,VRM,LULC_2015,habitat,GDP,DisFromRiv,DisFromRoa
51,109.922071,31.543577,21.8013992,2098,1907.069946,0.059141,0.371744,0.0742781,-0.0005489,5.1287098,0,0.10164,-67.8472977,13.3242998,10.309,0.0240601,2,100,189,8822.089844,16657.90039
52,109.922387,31.543579,127.875,2095,1917.189941,0.0587385,0.367723,-0.0165292,0.0082459,10.7595997,0,0.0101457,124.7549973,13.3514004,1.97604,0.0248146,2,100,189,8844.660156,16652.5
53,109.922703,31.543582,140.1940002,2089,1927.719971,0.058331,0.402496,-0.00681,0.0070886,21.3313007,0,0.40771,-23.2775002,12.4323997,10.309,0.0169544,2,100,189,8867.269531,16647.09961
54,109.923019,31.543585,142.125,2080,1938.660034,0.0579183,0.411111,-0.0022189,0.0044719,29.6868992,42.4263992,0.555548,376.105011,10.6485996,2.2588201,0.0089529,2,100,189,8889.929688,16641.80078
55,109.923335,31.543587,142.0010071,2068,1950,0.0575005,0.415035,-0.0026263,0.0025874,34.0900993,42.4263992,0.649487,-30.2859993,7.97297,11.0021,0.0038312,2,100,197,8912.629883,16636.5
56,109.923651,31.54359,144.6049957,2055,1961.729981,0.0570777,0.413625,-0.0027589,0.0018763,37.8445015,84.8527985,0.392336,13.1777,6.3513498,6.4210901,0.0022699,2,100,197,8935.370117,16631.30078
57,109.923967,31.543593,144.2109985,2041,1973.849976,0.05665,0.423617,-0.00093,0.0012811,41.4603004,84.8527985,0.191911,64.1959,5.4864898,4.8376799,0.0012632,2,100,197,8958.150391,16626.09961
58,109.924283,31.543595,141.1889954,2024,1986.349976,0.0562173,0.417568,0.0003691,0.0008746,44.5349998,84.8527985,0.906986,55.5122986,2.94595,4.9830098,0.0005432,2,100,197,8980.980469,16621
59,109.924599,31.543598,140.3150024,2004,1999.219971,0.0557796,0.395289,-0.0002776,-0.0002852,45.5080986,127.2789993,0.554535,2665.620117,-1.94595,1.68679,0.0002558,2,100,197,9003.849609,16615.90039
60,109.919863,31.543287,6.1155,2108,1819.150024,0.0627644,0.290625,0.0017524,0.0022748,25.1424007,30,0.0781486,0.58142,8.7567596,8.7309704,0.005145,2,100,189,8685.55957,16726.80078
61,109.920179,31.54329,11.3099003,2106,1826.310059,0.0623936,0.29998,0.0033692,0.0023488,23.0214996,30,0,100,8.8648701,3.5835199,0.0071762,2,100,189,8707.75,16721
62,109.920495,31.543293,13.3924999,2103,1833.930054,0.0620173,0.30049,0.0022499,0.0021026,19.7879009,30,0,81.8714981,7.7837801,3.78354,0.0091443,2,100,189,8730,16715.30078
63,109.920811,31.543295,7.12502,2101,1842.01001,0.0616357,0.302684,-0.0015902,0.0023864,15.0424004,0,0,-23.5531998,7.4594598,10.309,0.009976,2,100,189,8752.290039,16709.59961
64,109.921127,31.543298,355.2359924,2101,1850.540039,0.0612487,0.334755,-0.0046582,0.0045463,11.3480997,0,0.0525596,-81.5403976,9.2973003,10.309,0.0115525,2,100,189,8774.629883,16704
65,109.921443,31.543301,351.8699951,2102,1859.52002,0.0608564,0.369911,-0.0024513,0.0057248,6.7213702,0,0,14.0569,12.6216002,4.1592798,0.0163303,2,100,189,8797.009766,16698.40039
66,109.921759,31.543303,90,2102,1868.930054,0.0604588,0.352603,0.0666667,0.0027491,4.7636399,0,0,-584.8209839,15.7297001,10.309,0.0262892,2,100,189,8819.44043,16692.90039
67,109.922075,31.543306,128.1569977,2097,1878.780029,0.0600561,0.348487,-0.0067328,0.0081238,16.5277996,0,0.144955,32.1416016,15.0270004,3.3322401,0.025791,2,100,189,8841.910156,16687.40039
